Điểm,Tần suất
0.8,2
1.0,7
1.2,32
1.4,56
1.6,97
1.8,199
2.0,287
2.2,399
2.4,613
2.6,616
2.8,794
3.0,850
3.2,946
3.4,1017
3.6,1110
3.8,1180
4.0,1241
4.2,1282
4.4,1402
4.6,1546
4.8,1618
5.0,1719
5.2,1906
5.4,2039
5.6,2114
5.8,2333
6.0,2542
6.2,2676
6.4,3057
6.6,3267
6.8,3752
7.0,4087
7.2,4656
7.4,5171
7.6,5697
7.8,6110
8.0,6245
8.2,5983
8.4,5497
8.6,4458
8.8,3114
9.0,1960
9.2,980
9.4,465
9.6,173
9.8,30
10.0,6
