Môn thi,Số lượng thí sinh
Toán,97080
Ngữ Văn,97081
Ngoại Ngữ,97077
Vật Lý,97086
Hóa Học,97085
Sinh Học,97084
Lịch Sử,97084
Địa Lý,97055
GDCD,97087
