Môn thi,Số lượng thí sinh
Toán,7
Ngữ Văn,6
Ngoại Ngữ,10
Vật Lý,1
Hóa Học,2
Sinh Học,3
Lịch Sử,3
Địa Lý,32
GDCD,0
